算法,总能耗/kWh,总成本,平均时延/h,SLA违约率,任务完成率,CPU平均利用率,GPU平均利用率,负载不均衡度,峰谷差/kW,远端迁移任务数,远端任务完成率,远端执行成本,远端网络能耗/kWh,迁移平均时延/h,单位百万Token能耗/kWh,单位百万Token成本,总碳排放/kg,时延敏感任务违约率,Token总量,功率上限违约时段数,峰时功率违约时段数,完成任务数,任务总数,约束惩罚项
FCFS,107.92080000000001,4045.895618928,3.942819320984497,0.9917187895793145,0.008281210420685489,1.0,0.0,1.0,9.8952,0,0.0,0.0,0.0,0.0,107920800.00000001,4045895618.9280005,58.314960000000006,0.9781621621621621,0.0,0,0,425,51321,10214.061917529718
Price-Only,107.4,4026.16195488,2.2810018585622065,0.9879776309892636,0.012022369010736346,1.0,0.0,1.0,9.8952,0,0.0,0.0,0.0,0.0,107400000.00000001,4026161954.88,58.03893600000001,0.884972972972973,0.0,0,0,617,51321,8160.781905400416
Homogeneous-Baseline,192.72369999999998,7677.138983725999,8.608842615981775,0.9882699090041114,0.011730090995888622,1.0,0.0,1.0,13.563199999999998,0,0.0,0.0,0.0,0.0,192723700.0,7677138983.726,113.230387,0.9885405405405405,0.0,0,0,602,51321,14904.354323164494
GA,140.4967,5419.41557622,3.373531575292192,0.988951891038756,0.011048108961243936,1.0,0.0,1.0,10.562999999999999,0,0.0,0.0,0.0,0.0,140496700.0,5419415576.22,79.590284,0.9065945945945946,0.0,0,0,567,51321,9344.66940886435
PSO,140.3896,5364.8845895839995,4.2639711864795595,0.9885232166169794,0.011476783383020595,1.0,0.0,1.0,9.8952,0,0.0,0.0,0.0,0.0,140389600.0,5364884589.584,80.324584,0.9076756756756756,0.0,0,0,589,51321,10237.289972267157
Proposed,159.1034,6242.2261131879995,3.025291022933922,0.9882114534011418,0.011788546598858167,1.0,0.0,1.0,13.104699999999998,0,0.0,0.0,0.0,0.0,159103400.0,6242226113.188,90.18438499999999,0.8970810810810811,0.0,0,0,605,51321,8954.672614263956
