algorithm,total_energy_kwh,total_cost,avg_delay_hours,sla_violation_rate,completion_rate,avg_cpu_utilization,avg_gpu_utilization,load_imbalance,peak_valley_gap_kw,remote_task_count,remote_completion_rate,remote_cost,remote_energy_kwh,migration_delay_hours,unit_token_energy_kwh_per_million,unit_token_cost_per_million,total_carbon,delay_sensitive_violation_rate,total_tokens,power_limit_violation_hours,peak_limit_violation_hours,total_completed_tasks,total_tasks,objective_penalty
FCFS,396.5858197760658,15234.453964015871,2.759208859447703,0.36774419828140525,0.6322558017185947,0.23863687025672184,0.22963786516462056,0.15599629675876797,77.68573240486556,0,0.0,0.0,0.0,0.0,18.39554534753077,706.6467704220141,219.78171584035556,0.416,21558796.560999993,0,0,32448,51321,1752.7209914070263
Price-Only,374.8259833858995,14437.842690478059,5.460940944030549,0.32000545585627715,0.6799945441437228,0.35951451654831584,0.20461105554308737,0.15490346100522848,71.30418356919955,0,0.0,0.0,0.0,0.0,24.43190818250453,941.0874982059045,210.1035190696021,0.0,15341658.153999982,0,0,34898,51321,1460.9409440305487
Proposed,960.4761047093654,37296.63777101052,1.696541912643473,0.0,0.7652617836752986,0.07711773197580497,0.1228263483590889,0.11524367942189617,56.73119766519889,3047,0.2754474778521063,91.41000000000099,15.23499999999977,0.1557711519527394,20.546351709775678,797.843729248389,563.9021133849463,0.0,46746795.649,0,0,39274,51321,60.94
