算法,总能耗/kWh,总成本,平均时延/h,SLA违约率,任务完成率,CPU平均利用率,GPU平均利用率,负载不均衡度,峰谷差/kW,远端迁移任务数,远端任务完成率,远端执行成本,远端网络能耗/kWh,迁移平均时延/h,单位百万Token能耗/kWh,单位百万Token成本,总碳排放/kg,时延敏感任务违约率,Token总量,功率上限违约时段数,峰时功率违约时段数,完成任务数,任务总数,约束惩罚项
完整Proposed,179.50418035324674,144.00287802621546,0.5905709908004773,0.11108627626285203,0.8889137237371479,0.7433869938840921,0.6036159000721502,0.31605920902014645,7.345179672727273,69,0.46938775510204084,1.9664999999999992,0.345,0.11000000000000003,98.37982044364999,78.92282650860095,106.94138707083117,0.0,1824603.6589999998,0,0,3977,4474,1.3800000000000001
无空间迁移,180.06858235324674,143.1836003548991,0.6020094437430872,0.12382655341975861,0.8761734465802414,0.7433869938840921,0.616973538961039,0.3026637138902764,7.345179672727273,0,0.0,0.0,0.0,0.0,107.83010482679953,85.74234568837299,107.29985947355844,0.0,1669928.6589999998,0,0,3920,4474,19.132767098793067
无时间迁移,182.14824108571426,148.7031125412459,0.43044077236909045,0.09856951274027716,0.9014304872597229,0.745801272194241,0.6412203823953824,0.28577360800988016,7.345254072727272,95,0.39094650205761317,2.7029999999999985,0.475,0.11000000000000003,91.93431967974212,75.05381004094565,108.67459783550649,0.0,1981286.6590000005,0,0,4033,4474,1.9000000000000001
无异构感知,267.3436907168831,232.025355884662,0.2024498675490739,0.013634331694233347,0.9863656683057667,0.4287745125402697,0.8256571067821067,0.39688259424183703,10.43428682077922,0,0.0,0.0,0.0,0.0,85.21434126347562,73.95681493405203,163.30350576945452,0.0,3137308.6590000005,0,0,4413,4474,0.0
无优先级调度,179.54912526233767,143.9680249474851,0.5862944592995866,0.11041573535985695,0.8895842646401431,0.7436281653366473,0.6049309253246754,0.30833168007587647,7.34527532987013,69,0.46938775510204084,1.9664999999999992,0.345,0.11000000000000003,98.24555691296435,78.77631688797828,106.96150711316884,0.0,1827554.6590000002,0,0,3980,4474,1.3800000000000001
