算法,范围,窗口起始小时,窗口结束小时,优化任务数,总能耗/kWh,总成本,平均时延/h,SLA违约率,任务完成率,远端迁移任务数,远端任务完成率,远端执行成本,远端网络能耗/kWh,峰谷差/kW
Static-Proposed,overall,,,,159.1034,6242.2261131879995,3.025291022933922,0.9882114534011418,0.011788546598858167,0,0.0,0.0,0.0,13.104699999999998
Rolling-Proposed,overall,,,,291.8227,11782.090066742,8.094643150162355,0.9747666647181465,0.025233335281853432,0,0.0,0.0,0.0,7.4382
Rolling-Proposed,window,0.0,3.0,47886.0,44.924400000000006,1690.1997607937499,0.5190561635537916,0.9929833354216263,0.0056801570396358015,9,0.24324324324324326,0.27,0.045,5.6042000000000005
Rolling-Proposed,window,4.0,7.0,39610.0,49.20779999999999,1660.7581080056245,0.39896880040895055,0.9926281242110578,0.007371875788942187,3,0.07894736842105263,0.09,0.015,4.834199999999999
Rolling-Proposed,window,8.0,11.0,27745.0,45.6718,2083.55366753075,1.3236876938048152,0.9927914939628762,0.007208506037123806,0,0.0,0.0,0.0,6.062700000000001
Rolling-Proposed,window,12.0,15.0,21591.0,48.7966,2162.9275864288124,1.5183492236244258,0.991802139780464,0.008197860219535918,0,0.0,0.0,0.0,1.3754999999999988
Rolling-Proposed,window,16.0,19.0,14575.0,51.306,2858.1438314141246,1.4637183484722063,0.9844939965694682,0.013447684391080617,6,0.01125703564727955,0.18,0.030000000000000002,3.0002000000000013
Rolling-Proposed,window,20.0,23.0,7647.0,52.0261,1350.378735671875,1.4529480540191033,0.9746305740813391,0.02471557473519027,4,0.008888888888888889,0.12,0.02,2.937900000000001
