hour,price,hourly_power_cap,high_price_flag,low_price_flag,hourly_task_arrivals,hourly_cpu_demand,hourly_completed_tasks,hourly_deadline_violation_rate,hourly_actual_power_w,hourly_reported_power_w,hourly_power_cap_w,hourly_frequency_ghz,dvfs_tracking_error,cluster_cap_norm,server_load_norm,chip_power_norm,chip_power_variation_norm,chip_power_ratio,power_margin_norm_old,power_margin_norm_v2,power_margin_norm
0,42.62,1.0,0,0,907,8068.0,907,0.0,726.5889777777777,684.2303306666668,767.0241333333333,1.0895555555555556,0.05522466017728639,1.0,0.06649682377134485,0.9831511963763726,0.7197793257929682,0.9472830725940362,0.4748614358906209,0.6834819154775184,0.6834819154775184
1,40.53,1.0,0,0,1031,9325.0,1031,0.0,733.4065777777778,684.1421617777778,773.3415666666667,1.0908888888888888,0.06370330798633304,1.0,0.07696214335073391,0.9923761251895175,0.873203618061785,0.9483604779437621,0.465019838097467,0.6393699166416501,0.6393699166416501
2,34.475,1.0,0,1,1912,18391.0,1912,0.0,739.0409333333333,682.4154066666667,778.0670222222221,1.1017777777777777,0.07277718377645606,1.0,0.15244232418346362,1.0,1.0,0.9498422529495889,0.42349324414270506,0.566156721699095,0.566156721699095
3,40.449999999999996,0.9135130833333333,0,0,2837,26761.0,2837,0.0,733.0353777777777,678.0372518888889,781.9861333333333,1.0908888888888888,0.07033133139388423,0.9135130833333333,0.22212786505815454,0.9918738526045257,0.864850077623773,0.9374020158811568,0.3062501120363952,0.475130238145405,0.475130238145405
4,27.825,0.9319022499999999,0,1,4177,40545.0,4177,0.0,733.8510222222222,680.8271278888889,784.224011111111,1.0917777777777777,0.06761319926714256,0.9319022499999999,0.33688837825011864,0.9929775052002834,0.8832054624559555,0.9357670918319385,0.2667458656107209,0.42581227634844576,0.42581227634844576
5,36.66,0.7375484999999999,0,1,6689,65003.0,6689,0.0,732.7531555555555,682.0681263333335,782.4483111111111,1.0955555555555556,0.06477747923086073,0.7375484999999999,0.5405166887295918,0.9914919762976893,0.8584989064334746,0.9364876186070537,0.0,0.12563959459035579,0.12563959459035579
6,39.635,0.7506714166666667,0,0,7759,79522.0,7759,0.0,732.9294222222222,680.5945331111111,782.7031555555556,1.0906666666666667,0.06686428787164439,0.7506714166666667,0.6613965415324159,0.9917304836099591,0.8624656379202038,0.9364079051169732,0.0,0.07128690934378698,0.07128690934378698
7,38.355,0.7989143333333333,0,0,11358,120192.0,11358,0.0,734.2634666666667,681.0553387777778,784.8699888888889,1.0917777777777777,0.06779228234247253,0.7989143333333333,1.0,0.993535585850274,0.892487174053745,0.9355224139811181,0.0,0.0,0.0
8,41.75,0.6611578333333333,0,0,7552,77455.0,7552,0.0,720.9378666666667,674.0371185555556,773.0546444444445,1.0844444444444445,0.060669382750835506,0.6611578333333333,0.6441874599328954,0.9755046495394842,0.5926058743210941,0.9325833197532477,0.0,0.05870326178996732,0.05870326178996732
9,44.870000000000005,0.5931022499999999,0,0,2360,21040.0,2360,0.0,717.9555555555555,676.1691464444444,756.0202333333333,1.076,0.05527154865534827,0.5931022499999999,0.17449692367893033,0.9714692693912428,0.5254914980673321,0.949651244636736,0.01984099123622096,0.2657560674597552,0.2657560674597552
10,55.86000000000001,0.5019839166666666,1,0,939,5572.0,939,0.0,709.0412,673.1417485555555,742.7420000000001,1.0722222222222222,0.04833367635658745,0.5019839166666666,0.04571604599079185,0.9594072101013079,0.3248815045001408,0.9546265055699017,0.0,0.29561971524669595,0.29561971524669595
11,50.165,0.5358406666666666,1,0,773,4444.0,773,0.0,707.1189333333334,667.7580737777778,728.1241333333332,1.0655555555555556,0.05405789720959069,0.5358406666666666,0.03632473295534964,0.9568061814167443,0.2816225273109166,0.9711516223149498,0.038950488631350866,0.34545643171349516,0.34545643171349516
12,44.21,0.57076725,0,0,832,5266.0,832,0.0,703.8001777777778,667.5699844444445,714.3560111111111,1.0624444444444443,0.05071727929744832,0.57076725,0.04316840256096444,0.952315556600353,0.20693675485076612,0.9852232875916943,0.07270285561888629,0.395290439878778,0.395290439878778
13,42.165,0.5898964166666666,0,0,678,4364.0,678,0.0,701.8472888888889,669.8227155555555,700.4513777777778,1.0657777777777777,0.04571990911765091,0.5898964166666666,0.03565868238546012,0.9496730928330477,0.162988650582782,1.0019928736746007,0.09690558377516933,0.4295369787089681,0.4295369787089681
14,42.660000000000004,0.6226579166666667,0,0,435,2727.0,435,0.0,699.5598222222222,670.1017364444444,690.2385333333334,1.0582222222222222,0.04267812409069279,0.6226579166666667,0.022029622599095838,0.9465779101936378,0.1115111578548664,1.0135044458382727,0.13802461252831422,0.48266383477344743,0.48266383477344743
15,56.835,0.61032275,1,0,462,3271.0,462,0.0,701.6241777777777,671.6417238888888,685.8624777777777,1.06,0.04371496453054743,0.61032275,0.026558766474344565,0.9493712000676432,0.15796772469690729,1.0229808460306338,0.12202975513124764,0.45622349726488376,0.45622349726488376
16,69.58,0.5855605,1,0,211,1497.0,211,0.0,698.5346846846847,673.4796959459459,682.1469369369369,1.0617117117117116,0.03672960674901506,0.5855605,0.011789095087044484,0.9451907914410759,0.0884413090554524,1.0240237797172178,0.10673756833697007,0.4569661704382625,0.4569661704382625
17,62.5,0.6566761666666666,1,0,175,1362.0,175,0.0,701.3974774774774,672.3491844594595,685.1993581081082,1.0596846846846846,0.04239392911607896,0.6566761666666666,0.010665134750355921,0.9490644507523139,0.1528660271595477,1.023640009550058,0.1764780067857173,0.5125938357640839,0.5125938357640839
18,53.46,0.7297040833333334,1,0,97,672.0,97,0.0,695.8694594594594,671.7218820945947,691.7925225225225,1.0599099099099099,0.03490580857511165,0.7297040833333334,0.004920448585058821,0.9415844617981369,0.028462681104680237,1.0058932943103678,0.2561163252777154,0.619882166335381,0.619882166335381
19,40.87,0.7574356666666667,0,0,65,378.0,65,0.0,694.6046846846847,672.8420329954955,699.8831756756757,1.0531531531531533,0.031094691865080543,0.7574356666666667,0.0024727127407148386,0.9398730886958783,0.0,0.9924580398923076,0.2859266382931685,0.6560756746592736,0.6560756746592736
20,36.96,0.73391875,0,0,23,97.0,23,0.0,702.0497297297297,672.7024601351352,713.7084797297298,1.0601351351351351,0.04111940719228653,0.73391875,0.00013321011397790378,0.9499470165518974,0.16754440960829084,0.9836645488583587,0.25854172069103737,0.5919593820352395,0.5919593820352395
21,29.7,0.70303775,0,1,16,81.0,16,0.0,707.6473873873874,678.7899882882883,729.57009009009,1.070945945945946,0.03955397773438831,0.70303775,0.0,0.957521235252356,0.29351493655167904,0.9699512041399675,0.2239401715112022,0.5296590158620803,0.5296590158620803
22,15.719999999999999,0.7021164999999999,0,1,14,102.0,14,0.0,717.8587387387388,680.2463943693693,746.3397747747747,1.0754504504504505,0.05039573883184753,0.7021164999999999,0.0001748382745959987,0.9713382660699788,0.5233127179101176,0.9618390483816427,0.21602304587874854,0.47119215947144266,0.47119215947144266
23,12.39,0.6786895833333334,0,1,19,157.0,19,0.0,725.4926126126127,682.2705475225226,760.6865202702703,1.082882882882883,0.05681981202287288,0.6786895833333334,0.0006327480413950429,0.9816676991630044,0.695106559785337,0.9537340195733279,0.18720261207983968,0.4045649319642318,0.4045649319642318
