task_id,arrival_time,task_type,cpu_demand,gpu_demand,memory_demand,bandwidth_demand,token_amount,deadline,priority,migratable,migration_cost_weight,migration_delay_penalty
j253677,0,delay_sensitive,1.2017,0.0,9.1333,0.5,0.0,1,3,False,1.0,0.0
j253677,0,delay_sensitive,0.9967,0.0,7.7333,0.5,0.0,1,3,False,1.0,0.0
j253677,0,delay_sensitive,0.9283,0.0,7.7333,0.5,0.0,1,3,False,1.0,0.0
j253737,0,token_batch,1.475,1.2416,11.0,0.5,3914.085,4,1,True,1.0,0.1352
j253737,0,delay_tolerant,0.7917,0.0,7.7333,0.5,0.0,3,2,True,1.0,0.05
j254279,0,delay_sensitive,0.5183,0.0,7.7333,0.5,0.0,1,3,False,1.0,0.0
j259556,0,token_batch,1.475,0.0,11.0,0.5,4598.789,4,1,False,1.0,0.0
j259650,0,delay_sensitive,1.475,0.0,11.0,0.5,0.0,1,3,False,1.0,0.0
j263018,0,delay_sensitive,1.4067,0.0,10.5333,0.5,0.0,1,3,False,1.0,0.0
j263018,0,delay_sensitive,0.7233,0.0,7.7333,0.5,0.0,1,3,False,1.0,0.0
j269438,0,delay_sensitive,0.86,0.0,7.7333,0.5,0.0,1,3,False,1.0,0.0
j269438,0,delay_sensitive,0.7233,0.0,7.7333,0.5,0.0,1,3,False,1.0,0.0
j269438,0,delay_sensitive,0.9967,0.0,7.7333,0.5,0.0,1,3,False,1.0,0.0
j281862,0,token_batch,1.475,0.8894,11.0,0.5,4527.432,4,1,False,1.0,0.0
j285829,0,delay_sensitive,0.86,0.0,7.7333,0.5,0.0,1,3,False,1.0,0.0
j291405,0,delay_sensitive,1.475,0.0,11.0,0.5,0.0,1,3,False,1.0,0.0
j293870,0,delay_sensitive,0.5867,0.0,7.7333,0.5,0.0,1,3,False,1.0,0.0
j296977,0,delay_sensitive,1.475,0.0,11.0,0.5,0.0,1,3,False,1.0,0.0
j298569,0,delay_sensitive,0.5183,0.0,7.7333,0.5,0.0,1,3,False,1.0,0.0
j306979,0,delay_sensitive,1.2017,0.0,9.1333,0.5,0.0,1,3,False,1.0,0.0
j306979,0,delay_sensitive,1.3383,0.0,10.0667,0.5,0.0,1,3,False,1.0,0.0
j306979,0,delay_sensitive,0.7233,0.0,7.7333,0.5,0.0,1,3,False,1.0,0.0
j317544,0,delay_sensitive,0.5867,0.0,7.7333,0.5,0.0,1,3,False,1.0,0.0
j318851,0,delay_tolerant,0.5183,0.0,7.7333,0.5,0.0,3,2,True,1.0,0.05
j326780,0,delay_sensitive,1.475,0.0,11.0,0.5,0.0,1,3,False,1.0,0.0
j34124,0,delay_sensitive,1.475,0.0,11.0,0.5,0.0,1,3,False,1.0,0.0
j343677,0,delay_sensitive,0.9283,0.0,7.7333,0.5,0.0,1,3,False,1.0,0.0
j343749,0,delay_tolerant,0.9967,0.0,7.7333,0.5,0.0,3,2,True,1.0,0.05
j343749,0,delay_tolerant,0.5183,0.0,7.7333,0.5,0.0,3,2,False,1.0,0.0
j345072,0,delay_sensitive,0.5183,0.0,7.7333,0.5,0.0,1,3,False,1.0,0.0
