actual_power_w,reported_power_w,power_cap_w,frequency_ghz
846.7200000000001,705.986,843.97,1.2
846.7200000000001,701.494,843.97,1.2
846.7200000000001,713.2855000000001,843.97,1.2
846.7200000000001,697.5635,843.97,1.2
846.7200000000001,705.4245000000001,843.97,1.2
846.7200000000001,694.7560000000001,843.97,1.2
846.7200000000001,748.0985000000001,843.97,1.2
846.7200000000001,715.5315,843.97,1.2
846.7200000000001,703.1785,843.97,1.2
846.7200000000001,718.339,843.97,1.2
846.7200000000001,713.2855000000001,843.97,1.2
846.7200000000001,711.0395,843.97,1.2
846.7200000000001,725.077,843.97,1.2
846.7200000000001,727.8845,843.97,1.2
846.7200000000001,705.986,843.97,1.2
846.7200000000001,705.4245000000001,843.97,1.2
846.7200000000001,710.4780000000001,843.97,1.2
846.7200000000001,676.2265,843.97,1.2
846.7200000000001,689.7025,843.97,1.2
846.7200000000001,737.9915,843.97,1.2
846.7200000000001,742.4835,843.97,1.2
846.7200000000001,711.0395,843.97,1.2
846.7200000000001,724.5155,843.97,1.2
846.7200000000001,720.0235,843.97,1.2
846.7200000000001,766.628,843.97,1.2
846.7200000000001,734.061,843.97,1.2
846.7200000000001,712.724,843.97,1.2
846.7200000000001,698.6865,843.97,1.2
846.7200000000001,688.018,843.97,1.2
846.7200000000001,718.339,843.97,1.2
846.7200000000001,702.0555,843.97,1.2
846.7200000000001,690.8255,843.97,1.2
846.7200000000001,704.3015,843.97,1.2
846.7200000000001,697.0020000000001,843.97,1.2
846.7200000000001,743.6065,843.97,1.2
846.7200000000001,729.5690000000001,843.97,1.2
846.7200000000001,714.97,843.97,1.2
846.7200000000001,739.676,843.97,1.2
846.7200000000001,716.0930000000001,843.97,1.2
846.7200000000001,700.371,843.97,1.2
846.7200000000001,740.799,843.97,1.2
846.7200000000001,723.9540000000001,843.97,1.2
846.7200000000001,697.5635,843.97,1.2
846.7200000000001,711.601,843.97,1.2
846.7200000000001,700.371,843.97,1.2
846.7200000000001,691.9485000000001,843.97,1.2
846.7200000000001,730.692,843.97,1.2
846.7200000000001,746.9755,843.97,1.2
846.7200000000001,691.3870000000001,843.97,1.2
846.7200000000001,724.5155,843.97,1.2
846.7200000000001,703.74,843.97,1.2
846.7200000000001,706.5475,843.97,1.2
846.7200000000001,704.863,843.97,1.2
846.7200000000001,700.371,843.97,1.2
846.7200000000001,715.5315,843.97,1.2
846.7200000000001,700.9325,843.97,1.2
846.7200000000001,719.462,843.97,1.2
846.7200000000001,713.847,843.97,1.2
846.7200000000001,711.0395,843.97,1.2
846.7200000000001,699.8095000000001,843.97,1.2
846.7200000000001,705.4245000000001,843.97,1.2
846.7200000000001,727.8845,843.97,1.2
846.7200000000001,723.3925,843.97,1.2
846.7200000000001,698.6865,843.97,1.2
846.7200000000001,716.6545,843.97,1.2
846.7200000000001,727.8845,843.97,1.2
846.7200000000001,686.895,843.97,1.2
846.7200000000001,723.9540000000001,843.97,1.2
846.7200000000001,703.74,843.97,1.2
609.8400000000001,528.5020000000001,528.37,1.4
640.0,508.476,528.37,1.0
640.0,511.706,528.37,1.0
640.0,544.006,528.37,1.0
640.0,548.528,528.37,1.0
