time_step,power_cap_pu,price,reward
0.0,1.0,61.72,-7.244999539977289
1.0,1.0,61.72,-31.38929054030792
2.0,1.0,61.72,-30.71872680923475
3.0,1.0,28.0,-13.98323024093465
4.0,1.0,28.0,-15.92908889374293
5.0,1.0,28.0,-15.46376009325793
6.0,1.0,15.68,-8.370700844469182
7.0,1.0,15.68,-9.243737876598788
8.0,1.0,15.68,-8.924677043292535
9.0,1.0,65.08,-37.02110770556293
10.0,1.0,65.08,-25.5976833261186
11.0,1.0,65.08,-24.68552740628801
12.0,1.0,54.18,-19.03915347249407
13.0,1.0,54.18,-22.61274655619562
14.0,1.0,54.18,-21.89038091516768
15.0,1.0,40.72,-15.61870751095087
16.0,1.0,40.72,-17.84792650082078
17.0,1.0,40.72,-17.74083729998467
18.0,1.0,20.4,-8.726301872378892
19.0,1.0,20.4,-11.02240386194507
20.0,1.0,20.4,-10.80656952370582
21.0,1.0,46.82,-25.18489136816747
22.0,1.0,46.82,-15.00448504382348
23.0,1.0,46.82,-14.20360115311989
24.0,1.0,39.38,-10.32908099195462
25.0,1.0,39.38,-13.56653446840634
26.0,1.0,39.38,-12.99448165363721
27.0,1.0,39.46,-11.51955963076882
28.0,1.0,39.46,-9.011567930924615
29.0,1.0,39.46,-8.827075999209677
30.0,1.0,36.46,-8.41582133711128
31.0,1.0,36.46,-11.62215516575907
32.0,1.0,36.46,-11.21087963180838
33.0,1.0,22.6,-5.511539333641833
34.0,1.0,22.6,-10.39454502219203
35.0,1.0,22.6,-11.42593144609933
36.0,1.0,24.78,-9.406265101765106
37.0,1.0,24.78,-4.722860063001026
38.0,1.0,24.78,-4.271315292545152
39.0,1.0,47.76,-16.55482830753733
40.0,1.0,47.76,-5.548558182167972
41.0,1.0,47.76,-4.536523139710226
42.0,0.8115496965646743,58.2,-4.038285251781992
43.0,0.7291084396243096,58.2,-3.893971064269072
44.0,0.7066612406969071,58.2,-3.569573047019231
45.0,0.7148382561802864,31.06,-1.949848769894437
46.0,1.0,31.06,-14.00558893846492
47.0,1.0,31.06,-13.82803139847414
48.0,1.0,29.68,-5.681017731676599
49.0,0.8127730512022973,29.68,-2.075899624527921
50.0,1.0,29.68,-2.426763185605543
51.0,1.0,32.24,-8.959094673436944
52.0,1.0,32.24,-9.414230200585227
53.0,1.0,32.24,-5.899199218281982
54.0,1.0,45.94,-4.19238555159232
55.0,0.6237429385781288,45.94,-1.651917581343274
56.0,0.8068201422095299,45.94,-3.312886264958087
57.0,0.9394911273717881,3.44,-0.3797860556906788
58.0,1.0,3.44,-2.388184713297465
59.0,1.0,3.44,-2.285387282435232
60.0,1.0,20.16,-3.911246276831321
61.0,0.8345197787284852,20.16,-1.403639000721341
62.0,0.7737055763006211,20.16,-1.380504948159171
63.0,1.0,47.36,-12.64733169008063
64.0,0.7349092870354652,47.36,-3.459035773166656
65.0,0.6397283437252045,47.36,-2.225216801570046
66.0,0.6177735608220101,67.32,-3.580755550289678
67.0,0.4219388296604157,67.32,-2.417257010715982
68.0,0.412896106183529,67.32,-2.321513702062033
69.0,0.4151100569367409,11.8,-0.4636887765750853
70.0,1.0,11.8,-4.09380182875893
71.0,1.0,11.8,-3.477677897543561
72.0,1.0,25.22,-5.068302983068648
73.0,0.7488410373926163,25.22,-1.763418103888623
74.0,0.9127151139974594,25.22,-2.26652272722815
75.0,1.0,52.0,-6.646413397808039
76.0,0.5753321852684021,52.0,-2.449071261595504
77.0,0.574154394209385,52.0,-2.874865367273475
78.0,0.5644364514350891,53.9,-2.497391798371841
79.0,0.5513997783660889,53.9,-1.611761812161111
80.0,0.5432238608002663,53.9,-2.069833525675719
81.0,0.5379552289247513,27.42,-1.261805536183442
82.0,1.0,27.42,-3.10546710281526
83.0,1.0,27.42,-2.925452148170536
84.0,1.0,28.22,-3.207177158741851
85.0,1.0,28.22,-3.323672111874376
86.0,1.0,28.22,-3.037483444600837
87.0,1.0,43.98,-4.598234122848041
88.0,0.6733910449743271,43.98,-2.401712247712682
89.0,0.675312675178051,43.98,-2.390204841735114
90.0,0.6690051388144493,44.62,-3.153268091288736
91.0,0.6686417281031609,44.62,-3.177329916025525
92.0,0.662526876270771,44.62,-1.870465352442347
93.0,0.6506649749875069,36.6,-1.54801236331388
94.0,0.7978699182868004,36.6,-2.242472170723965
95.0,0.7895592313408851,36.6,-2.968647441825115
96.0,0.7744922342300415,35.4,-2.958683113539681
97.0,0.7821644821166992,35.4,-2.879699053571388
98.0,0.7760370042324066,35.4,-2.856977237524727
99.0,0.7741406261324882,46.6,-3.952355237254848
100.0,0.574174705684185,46.6,-1.540543170162362
101.0,0.5743640964627266,46.6,-2.030416839049092
102.0,0.5738461538553238,44.2,-1.942157066562258
103.0,0.6057041531205177,44.2,-2.381500990848543
104.0,0.6001437496542931,44.2,-2.964408195749306
105.0,0.5972935556769371,40.8,-2.365298506129018
106.0,0.6475180687904358,40.8,-2.85644913347575
107.0,0.6540147214531898,40.8,-2.312051723352536
108.0,0.6482772787809372,40.96,-2.56398784291315
109.0,0.6460073342323304,40.96,-2.312359302468519
110.0,0.6408095180392266,40.96,-3.019078241481436
111.0,0.6335838481187821,46.52,-3.246728218447501
112.0,0.5629877492189408,46.52,-2.726667376489221
113.0,0.5648028814196587,46.52,-2.000006660061756
114.0,0.5666495787501336,51.5,-2.310982843209007
115.0,0.5244017111659051,51.5,-2.737966094215389
116.0,0.5257933216691018,51.5,-2.730325777168225
117.0,0.5241233890652657,40.5,-2.037127160749248
118.0,0.6424319657087326,40.5,-2.51466270621695
119.0,0.6373576652407646,40.5,-2.790483890685473
120.0,0.6294134082794189,53.36,-3.605795925562065
121.0,0.4975507649183274,53.36,-1.888483765467772
122.0,0.4970962270498276,53.36,-2.308878042347954
123.0,0.5011568751335145,54.42,-2.298263465810094
124.0,0.4961747997403145,54.42,-2.077314413111798
125.0,0.4937508722543717,54.42,-2.305321042491371
126.0,0.4945498817563058,52.84,-2.376027585079712
127.0,0.5109972357153892,52.84,-2.93612625877325
128.0,0.510321741938591,52.84,-3.122642796336904
129.0,0.5109275179505348,62.82,-3.607723436741132
130.0,0.4397692852616311,62.82,-2.858574199166354
131.0,0.4420976939201355,62.82,-2.074510212062521
132.0,0.4439185901880265,56.18,-2.500256967595702
133.0,0.4897972711324692,56.18,-2.580433237490711
134.0,0.49178779566288,56.18,-2.862767951884456
135.0,0.4935905762910843,51.68,-2.74509325698073
136.0,0.5287047245502472,51.68,-2.625415605366704
137.0,0.52913785302639,51.68,-3.393733658748002
138.0,0.5281865074634552,33.54,-1.861276421645646
139.0,0.6650658106207847,33.54,-2.827943073349171
140.0,0.6652337920069694,33.54,-3.120047741904177
141.0,0.6532417874932289,59.26,-4.659953347982132
142.0,0.4702375953793526,59.26,-3.140897369972611
143.0,0.4711834513545037,59.26,-2.192769873356239
144.0,0.4783975931406022,53.6,-2.600256953028033
145.0,0.519562090575695,53.6,-2.965646621888964
146.0,0.5206295409202576,53.6,-2.611075132332258
147.0,0.5187452399134637,47.62,-2.787473083666761
148.0,0.5598076310157776,47.62,-3.526894727177424
149.0,0.5615217548012734,47.62,-3.348126870576624
150.0,0.5595603250861169,32.18,-2.169738779359945
151.0,0.6602097212672233,32.18,-2.883647996074284
152.0,0.6572719683647156,32.18,-2.913261557358258
153.0,0.6541385116577149,43.44,-4.022253417960576
154.0,0.5785908045768738,43.44,-3.299847093814594
155.0,0.580770445406437,43.44,-2.806759679817616
156.0,0.5860843663811683,44.44,-2.812700805913805
157.0,0.5783997669219971,44.44,-2.620951776875908
158.0,0.5785482602715493,44.44,-3.312103191016494
159.0,0.578707732796669,50.32,-2.969199389625318
160.0,0.5475919257998467,50.32,-4.0151921749251
161.0,0.5496186816096306,50.32,-3.237658290501891
162.0,0.5531613870859147,47.82,-3.536210086127802
163.0,0.5654103043079376,47.82,-3.918180642625339
164.0,0.5666800459623337,47.82,-3.926436453457739
165.0,0.568007702767849,26.08,-2.502523093922169
166.0,0.7017414721250534,26.08,-3.296726973417591
167.0,0.7048057600259781,26.08,-2.865384470196897
168.0,0.6982520156502724,43.68,-4.584047387292788
169.0,0.5831403004527093,43.68,-3.861534815206907
170.0,0.5845212062597275,43.68,-3.288308886343048
