task_id,arrival_time,task_type,cpu_demand,gpu_demand,memory_demand,bandwidth_demand,token_amount,deadline,priority,migratable,migration_cost_weight,migration_delay_penalty
j224254,0,delay_sensitive,1.0,0.0,4.0,0.5,0.0,0,3,False,1.0,0.0
j610121,0,delay_sensitive,13.0,0.0,6.5,0.5,0.0,1,3,False,1.0,0.0
j142475,0,delay_sensitive,15.0,0.0,7.5,0.5,0.0,1,3,False,1.0,0.0
j158021,0,delay_sensitive,2.0,0.0,4.0,0.5,0.0,0,3,False,1.0,0.0
j54287,0,delay_sensitive,15.0,0.0,7.5,0.5,0.0,1,3,False,1.0,0.0
j719536,0,delay_sensitive,12.0,0.0,6.0,0.5,0.0,1,3,False,1.0,0.0
j837711,0,delay_sensitive,15.0,0.0,7.5,0.5,0.0,1,3,False,1.0,0.0
j360424,0,delay_sensitive,11.0,0.0,5.5,0.5,0.0,1,3,False,1.0,0.0
j221783,0,delay_sensitive,15.0,0.0,7.5,0.5,0.0,1,3,False,1.0,0.0
j530239,0,delay_sensitive,5.0,0.0,4.0,0.5,0.0,0,3,False,1.0,0.0
j541699,0,delay_sensitive,15.0,0.0,7.5,0.5,0.0,1,3,False,1.0,0.0
j62803,0,delay_sensitive,14.0,0.0,7.0,0.5,0.0,1,3,False,1.0,0.0
j734726,0,delay_sensitive,15.0,0.0,7.5,0.5,0.0,1,3,False,1.0,0.0
j119594,0,delay_sensitive,1.0,0.0,4.0,0.5,0.0,0,3,False,1.0,0.0
j131110,0,delay_sensitive,1.0,0.0,4.0,0.5,0.0,0,3,False,1.0,0.0
j360424,0,delay_sensitive,2.0,0.0,4.0,0.5,0.0,0,3,False,1.0,0.0
j43281,0,delay_sensitive,1.0,0.0,4.0,0.5,0.0,0,3,False,1.0,0.0
j62803,0,delay_sensitive,10.0,0.0,5.0,0.5,0.0,0,3,False,1.0,0.0
j241884,0,delay_sensitive,10.0,0.0,5.0,0.5,0.0,1,3,False,1.0,0.0
j360424,0,delay_sensitive,15.0,0.0,7.5,0.5,0.0,0,3,False,1.0,0.0
j613886,0,delay_sensitive,2.0,0.0,4.0,0.5,0.0,0,3,False,1.0,0.0
j125286,0,delay_sensitive,30.0,0.0,15.0,0.5,0.0,0,3,False,1.0,0.0
j613886,0,delay_sensitive,2.0,0.0,4.0,0.5,0.0,0,3,False,1.0,0.0
j158021,0,delay_sensitive,14.0,0.0,7.0,0.5,0.0,1,3,False,1.0,0.0
j530239,0,delay_sensitive,12.0,0.0,6.0,0.5,0.0,1,3,False,1.0,0.0
j221783,0,delay_sensitive,1.0,0.0,4.0,0.5,0.0,0,3,False,1.0,0.0
j360424,0,delay_sensitive,1.0,0.0,4.0,0.5,0.0,0,3,False,1.0,0.0
j613886,0,delay_sensitive,30.0,0.0,15.0,0.5,0.0,1,3,False,1.0,0.0
j613886,0,delay_sensitive,6.0,0.0,4.0,0.5,0.0,0,3,False,1.0,0.0
j125286,0,delay_sensitive,30.0,0.0,15.0,0.5,0.0,1,3,False,1.0,0.0
j109174,0,delay_sensitive,12.0,0.0,6.0,0.5,0.0,1,3,False,1.0,0.0
j613886,0,delay_sensitive,5.0,0.0,4.0,0.5,0.0,1,3,False,1.0,0.0
j613886,0,delay_sensitive,30.0,0.0,15.0,0.5,0.0,1,3,False,1.0,0.0
j571568,0,delay_sensitive,3.0,0.0,4.0,0.5,0.0,1,3,False,1.0,0.0
j837711,0,delay_sensitive,14.0,0.0,7.0,0.5,0.0,1,3,False,1.0,0.0
j62803,0,delay_sensitive,4.0,0.0,4.0,0.5,0.0,1,3,False,1.0,0.0
j765620,0,delay_sensitive,15.0,0.0,7.5,0.5,0.0,1,3,False,1.0,0.0
j650514,0,delay_sensitive,1.0,0.0,4.0,0.5,0.0,0,3,False,1.0,0.0
j34124,0,delay_sensitive,5.0,0.0,4.0,0.5,0.0,0,3,False,1.0,0.0
j34124,0,delay_sensitive,15.0,0.0,7.5,0.5,0.0,1,3,False,1.0,0.0
j230254,0,delay_sensitive,4.0,0.0,4.0,0.5,0.0,1,3,False,1.0,0.0
j734726,0,delay_sensitive,12.0,0.0,6.0,0.5,0.0,1,3,False,1.0,0.0
j837711,0,delay_sensitive,1.0,0.0,4.0,0.5,0.0,0,3,False,1.0,0.0
j126584,0,delay_sensitive,10.0,0.0,5.0,0.5,0.0,1,3,False,1.0,0.0
j158021,0,delay_sensitive,1.0,0.0,4.0,0.5,0.0,0,3,False,1.0,0.0
j887557,0,delay_sensitive,15.0,0.0,7.5,0.5,0.0,1,3,False,1.0,0.0
j230254,0,delay_sensitive,6.0,0.0,4.0,0.5,0.0,1,3,False,1.0,0.0
j158021,0,delay_sensitive,15.0,0.0,7.5,0.5,0.0,1,3,False,1.0,0.0
j454954,0,delay_sensitive,15.0,0.0,7.5,0.5,0.0,1,3,False,1.0,0.0
j62803,0,delay_sensitive,1.0,0.0,4.0,0.5,0.0,0,3,False,1.0,0.0
j221783,0,delay_sensitive,14.0,0.0,7.0,0.5,0.0,1,3,False,1.0,0.0
j650514,0,delay_sensitive,15.0,0.0,7.5,0.5,0.0,1,3,False,1.0,0.0
j221783,0,delay_sensitive,15.0,0.0,7.5,0.5,0.0,1,3,False,1.0,0.0
j743978,0,delay_sensitive,10.0,0.0,5.0,0.5,0.0,1,3,False,1.0,0.0
j142475,0,delay_sensitive,6.0,0.0,4.0,0.5,0.0,0,3,False,1.0,0.0
j360424,0,delay_sensitive,8.0,0.0,4.0,0.5,0.0,1,3,False,1.0,0.0
j647487,0,delay_sensitive,15.0,0.0,7.5,0.5,0.0,1,3,False,1.0,0.0
j610121,0,delay_sensitive,1.0,0.0,4.0,0.5,0.0,0,3,False,1.0,0.0
j541699,0,delay_sensitive,12.0,0.0,6.0,0.5,0.0,1,3,False,1.0,0.0
j34124,0,delay_sensitive,15.0,0.0,7.5,0.5,0.0,1,3,False,1.0,0.0
j360424,0,delay_sensitive,8.0,0.0,4.0,0.5,0.0,0,3,False,1.0,0.0
j534401,0,delay_sensitive,8.0,0.0,4.0,0.5,0.0,1,3,False,1.0,0.0
j534401,0,delay_sensitive,9.0,0.0,4.5,0.5,0.0,1,3,False,1.0,0.0
j806950,0,delay_sensitive,12.0,0.0,6.0,0.5,0.0,1,3,False,1.0,0.0
j176671,0,delay_sensitive,12.0,0.0,6.0,0.5,0.0,1,3,False,1.0,0.0
j125286,0,delay_sensitive,30.0,0.0,15.0,0.5,0.0,2,3,False,1.0,0.0
j83983,0,delay_sensitive,8.0,0.0,4.0,0.5,0.0,0,3,False,1.0,0.0
j357491,0,delay_sensitive,1.0,0.0,4.0,0.5,0.0,0,3,False,1.0,0.0
j119594,0,delay_sensitive,13.0,0.0,6.5,0.5,0.0,1,3,False,1.0,0.0
j571568,0,delay_sensitive,1.0,0.0,4.0,0.5,0.0,0,3,False,1.0,0.0
j454954,0,delay_sensitive,1.0,0.0,4.0,0.5,0.0,0,3,False,1.0,0.0
j176671,0,delay_sensitive,6.0,0.0,4.0,0.5,0.0,1,3,False,1.0,0.0
j269438,0,delay_sensitive,8.0,0.0,4.0,0.5,0.0,0,3,False,1.0,0.0
j62803,0,delay_sensitive,5.0,0.0,4.0,0.5,0.0,0,3,False,1.0,0.0
j142475,0,delay_sensitive,6.0,0.0,4.0,0.5,0.0,0,3,False,1.0,0.0
j54287,0,delay_sensitive,2.0,0.0,4.0,0.5,0.0,0,3,False,1.0,0.0
j907081,0,delay_sensitive,2.0,0.0,4.0,0.5,0.0,1,3,False,1.0,0.0
j221783,0,delay_sensitive,15.0,0.0,7.5,0.5,0.0,1,3,False,1.0,0.0
j357491,0,delay_sensitive,15.0,0.0,7.5,0.5,0.0,1,3,False,1.0,0.0
j784768,0,delay_sensitive,1.0,0.0,4.0,0.5,0.0,0,3,False,1.0,0.0
j142475,0,delay_sensitive,5.0,0.0,4.0,0.5,0.0,1,3,False,1.0,0.0
j357491,0,delay_sensitive,14.0,0.0,7.0,0.5,0.0,1,3,False,1.0,0.0
j83983,0,delay_sensitive,1.0,0.0,4.0,0.5,0.0,0,3,False,1.0,0.0
j530239,0,delay_sensitive,1.0,0.0,4.0,0.5,0.0,0,3,False,1.0,0.0
j150498,0,delay_sensitive,15.0,0.0,7.5,0.5,0.0,1,3,False,1.0,0.0
j125286,0,delay_sensitive,22.0,0.0,11.0,0.5,0.0,0,3,False,1.0,0.0
j221783,0,delay_sensitive,10.0,0.0,5.0,0.5,0.0,0,3,False,1.0,0.0
j221783,0,delay_sensitive,11.0,0.0,5.5,0.5,0.0,1,3,False,1.0,0.0
j158021,0,delay_sensitive,11.0,0.0,5.5,0.5,0.0,1,3,False,1.0,0.0
j357491,0,delay_sensitive,1.0,0.0,4.0,0.5,0.0,0,3,False,1.0,0.0
j777403,0,delay_sensitive,10.0,0.0,5.0,0.5,0.0,1,3,False,1.0,0.0
j734726,0,delay_sensitive,2.0,0.0,4.0,0.5,0.0,0,3,False,1.0,0.0
j806950,0,delay_sensitive,15.0,0.0,7.5,0.5,0.0,1,3,False,1.0,0.0
j887557,0,delay_sensitive,15.0,0.0,7.5,0.5,0.0,1,3,False,1.0,0.0
j783971,0,delay_sensitive,1.0,0.0,4.0,0.5,0.0,0,3,False,1.0,0.0
j293870,0,delay_sensitive,14.0,0.0,7.0,0.5,0.0,1,3,False,1.0,0.0
j784768,0,delay_sensitive,15.0,0.0,7.5,0.5,0.0,1,3,False,1.0,0.0
j525230,0,delay_sensitive,15.0,0.0,7.5,0.5,0.0,1,3,False,1.0,0.0
j230254,0,delay_sensitive,4.0,0.0,4.0,0.5,0.0,0,3,False,1.0,0.0
j744102,0,delay_sensitive,1.0,0.0,4.0,0.5,0.0,0,3,False,1.0,0.0
j777403,0,delay_sensitive,6.0,0.0,4.0,0.5,0.0,0,3,False,1.0,0.0
j719536,0,delay_sensitive,12.0,0.0,6.0,0.5,0.0,1,3,False,1.0,0.0
j454954,0,delay_sensitive,11.0,0.0,5.5,0.5,0.0,1,3,False,1.0,0.0
j34124,0,delay_sensitive,1.0,0.0,4.0,0.5,0.0,0,3,False,1.0,0.0
j728811,0,delay_sensitive,1.0,0.0,4.0,0.5,0.0,0,3,False,1.0,0.0
j499213,0,delay_sensitive,7.0,0.0,4.0,0.5,0.0,0,3,False,1.0,0.0
j526920,0,delay_sensitive,15.0,0.0,7.5,0.5,0.0,1,3,False,1.0,0.0
j490257,0,delay_sensitive,15.0,0.0,7.5,0.5,0.0,1,3,False,1.0,0.0
j109174,0,delay_sensitive,14.0,0.0,7.0,0.5,0.0,1,3,False,1.0,0.0
j732507,0,delay_sensitive,9.0,0.0,4.5,0.5,0.0,1,3,False,1.0,0.0
j700313,0,delay_sensitive,12.0,0.0,6.0,0.5,0.0,1,3,False,1.0,0.0
j360424,0,delay_sensitive,15.0,0.0,7.5,0.5,0.0,1,3,False,1.0,0.0
j414923,0,delay_sensitive,15.0,0.0,7.5,0.5,0.0,1,3,False,1.0,0.0
j432724,0,delay_sensitive,14.0,0.0,7.0,0.5,0.0,1,3,False,1.0,0.0
j802076,0,delay_sensitive,30.0,0.0,15.0,0.5,0.0,2,3,False,1.0,0.0
j326780,0,delay_sensitive,15.0,0.0,7.5,0.5,0.0,1,3,False,1.0,0.0
j600349,0,delay_sensitive,15.0,0.0,7.5,0.5,0.0,1,3,False,1.0,0.0
j647487,0,delay_sensitive,15.0,0.0,7.5,0.5,0.0,1,3,False,1.0,0.0
j83983,0,delay_sensitive,15.0,0.0,7.5,0.5,0.0,1,3,False,1.0,0.0
j360424,0,delay_sensitive,14.0,0.0,7.0,0.5,0.0,1,3,False,1.0,0.0
j647487,0,delay_sensitive,15.0,0.0,7.5,0.5,0.0,1,3,False,1.0,0.0
j275097,0,delay_sensitive,14.0,0.0,7.0,0.5,0.0,1,3,False,1.0,0.0
j158021,0,delay_sensitive,1.0,0.0,4.0,0.5,0.0,0,3,False,1.0,0.0
j462994,0,delay_sensitive,15.0,0.0,7.5,0.5,0.0,1,3,False,1.0,0.0
j711556,0,delay_sensitive,4.0,0.0,4.0,0.5,0.0,0,3,False,1.0,0.0
j613886,0,delay_sensitive,5.0,0.0,4.0,0.5,0.0,1,3,False,1.0,0.0
j221783,0,delay_sensitive,11.0,0.0,5.5,0.5,0.0,1,3,False,1.0,0.0
j131110,0,delay_sensitive,1.0,0.0,4.0,0.5,0.0,0,3,False,1.0,0.0
j530239,0,delay_sensitive,6.0,0.0,4.0,0.5,0.0,1,3,False,1.0,0.0
j128704,0,delay_sensitive,11.0,0.0,5.5,0.5,0.0,1,3,False,1.0,0.0
j451729,0,delay_sensitive,1.0,0.0,4.0,0.5,0.0,0,3,False,1.0,0.0
j90165,0,delay_sensitive,12.0,0.0,6.0,0.5,0.0,1,3,False,1.0,0.0
j734726,0,delay_sensitive,15.0,0.0,7.5,0.5,0.0,1,3,False,1.0,0.0
j542337,0,delay_sensitive,8.0,0.0,4.0,0.5,0.0,0,3,False,1.0,0.0
j382275,0,delay_sensitive,1.0,0.0,4.0,0.5,0.0,0,3,False,1.0,0.0
j355042,0,delay_sensitive,14.0,0.0,7.0,0.5,0.0,1,3,False,1.0,0.0
j490491,0,delay_sensitive,7.0,0.0,4.0,0.5,0.0,0,3,False,1.0,0.0
j583371,0,delay_sensitive,12.0,0.0,6.0,0.5,0.0,1,3,False,1.0,0.0
j279817,0,delay_sensitive,15.0,0.0,7.5,0.5,0.0,1,3,False,1.0,0.0
j765620,0,delay_sensitive,9.0,0.0,4.5,0.5,0.0,1,3,False,1.0,0.0
j414945,0,delay_sensitive,15.0,0.0,7.5,0.5,0.0,1,3,False,1.0,0.0
j224443,0,delay_sensitive,15.0,0.0,7.5,0.5,0.0,1,3,False,1.0,0.0
j757631,0,delay_sensitive,15.0,0.0,7.5,0.5,0.0,1,3,False,1.0,0.0
j571568,0,delay_sensitive,12.0,0.0,6.0,0.5,0.0,1,3,False,1.0,0.0
j709529,0,delay_sensitive,5.0,0.0,4.0,0.5,0.0,0,3,False,1.0,0.0
j32556,0,delay_sensitive,3.0,0.0,4.0,0.5,0.0,0,3,False,1.0,0.0
j345990,0,delay_sensitive,15.0,0.0,7.5,0.5,0.0,1,3,False,1.0,0.0
j125286,0,delay_sensitive,3.0,0.0,4.0,0.5,0.0,0,3,False,1.0,0.0
j650514,0,delay_sensitive,3.0,0.0,4.0,0.5,0.0,0,3,False,1.0,0.0
j534401,0,delay_sensitive,7.0,0.0,4.0,0.5,0.0,1,3,False,1.0,0.0
j804383,0,delay_sensitive,6.0,0.0,4.0,0.5,0.0,1,3,False,1.0,0.0
j387830,0,delay_sensitive,6.0,0.0,4.0,0.5,0.0,0,3,False,1.0,0.0
j736737,0,delay_sensitive,14.0,0.0,7.0,0.5,0.0,1,3,False,1.0,0.0
j647487,0,delay_sensitive,15.0,0.0,7.5,0.5,0.0,1,3,False,1.0,0.0
j357491,0,delay_sensitive,12.0,0.0,6.0,0.5,0.0,1,3,False,1.0,0.0
j499750,0,delay_sensitive,1.0,0.0,4.0,0.5,0.0,0,3,False,1.0,0.0
j541699,0,delay_sensitive,3.0,0.0,4.0,0.5,0.0,0,3,False,1.0,0.0
