task_id,arrival_step,scheduled_start_step,execution_time_steps,end_step,arrival_time,deadline,task_type,cpu_demand,memory_demand,bandwidth_demand,priority,datacenter_id,server_room_id,rack_id,server_id,global_server_id,waiting_time_steps,deadline_violation,sample_marker
j650514,0.0,0.0,15.0,15.0,0,3,delay_sensitive,15.0,7.5,0.5,3,0,1,4,1,141,0.0,False,0.8322598
j109174,0.0,0.0,15.0,15.0,0,3,delay_sensitive,15.0,7.5,0.5,3,1,1,3,9,1139,0.0,False,0.80476436
j732507,0.0,0.0,15.0,15.0,0,3,delay_sensitive,15.0,7.5,0.5,3,2,1,5,3,2153,0.0,False,0.38747838
j610121,0.0,0.0,15.0,15.0,0,3,delay_sensitive,14.0,7.0,0.5,3,3,1,7,6,3176,0.0,False,0.2883281
j571568,0.0,0.0,15.0,15.0,0,3,delay_sensitive,11.0,5.5,0.5,3,0,2,7,2,272,0.0,False,0.6824955
j54287,0.0,0.0,12.0,12.0,0,2,delay_sensitive,7.0,4.0,0.5,3,1,2,4,2,1242,0.0,False,0.13975248
j525230,0.0,0.0,15.0,15.0,0,3,delay_sensitive,14.0,7.0,0.5,3,2,2,3,8,2238,0.0,False,0.1999082
j571568,0.0,0.0,13.0,13.0,0,3,delay_sensitive,5.0,4.0,0.5,3,3,2,8,4,3284,0.0,False,0.00736227
j647487,0.0,0.0,15.0,15.0,0,3,delay_sensitive,15.0,7.5,0.5,3,0,3,9,6,396,0.0,False,0.78692438
j62803,0.0,0.0,10.0,10.0,0,2,delay_sensitive,1.0,4.0,0.5,3,1,3,9,6,1396,0.0,False,0.66485086
j54287,0.0,0.0,15.0,15.0,0,3,delay_sensitive,11.0,5.5,0.5,3,2,3,5,3,2353,0.0,False,0.70516538
j158021,0.0,0.0,15.0,15.0,0,3,delay_sensitive,15.0,7.5,0.5,3,3,3,2,8,3328,0.0,False,0.78072903
j83983,0.0,0.0,11.0,11.0,0,2,delay_sensitive,4.0,4.0,0.5,3,0,4,7,1,471,0.0,False,0.45891578
j176671,0.0,0.0,15.0,15.0,0,3,delay_sensitive,13.0,6.5,0.5,3,1,4,0,1,1401,0.0,False,0.5687412
j341737,0.0,0.0,15.0,15.0,0,3,delay_sensitive,9.0,4.5,0.5,3,2,4,2,2,2422,0.0,False,0.139797
j757631,0.0,0.0,1.0,1.0,0,0,delay_sensitive,1.0,4.0,0.5,3,3,4,6,9,3469,0.0,False,0.11453007
j610121,0.0,0.0,14.0,14.0,0,3,delay_sensitive,7.0,4.0,0.5,3,0,5,1,6,516,0.0,False,0.66840296
j650514,0.0,0.0,6.0,6.0,0,1,delay_sensitive,6.0,4.0,0.5,3,1,5,6,9,1569,0.0,False,0.47109621
j230254,0.0,0.0,15.0,15.0,0,3,delay_sensitive,15.0,7.5,0.5,3,2,5,7,8,2578,0.0,False,0.56523611
j269438,0.0,0.0,4.0,4.0,0,0,delay_sensitive,4.0,4.0,0.5,3,3,5,4,8,3548,0.0,False,0.76499886
j534401,0.0,0.0,10.0,10.0,0,2,delay_sensitive,1.0,4.0,0.5,3,0,6,0,1,601,0.0,False,0.63471832
j62803,0.0,0.0,5.0,5.0,0,1,delay_sensitive,3.0,4.0,0.5,3,1,6,8,4,1684,0.0,False,0.5535794
j43281,0.0,0.0,7.0,7.0,0,1,delay_sensitive,4.0,4.0,0.5,3,2,6,5,1,2651,0.0,False,0.55920716
j610121,0.0,0.0,8.0,8.0,0,1,delay_sensitive,7.0,4.0,0.5,3,3,6,4,6,3646,0.0,False,0.3039501
j600349,0.0,0.0,4.0,4.0,0,0,delay_sensitive,4.0,4.0,0.5,3,0,7,2,7,727,0.0,False,0.03081783
j360424,0.0,0.0,8.0,8.0,0,1,delay_sensitive,5.0,4.0,0.5,3,1,7,0,4,1704,0.0,False,0.43671739
j483873,0.0,0.0,12.0,12.0,0,2,delay_sensitive,9.0,4.5,0.5,3,2,7,8,2,2782,0.0,False,0.21458467
j530880,0.0,0.0,12.0,12.0,0,2,delay_sensitive,2.0,4.0,0.5,3,3,7,8,1,3781,0.0,False,0.40852864
j744102,0.0,0.0,11.0,11.0,0,2,delay_sensitive,8.0,4.0,0.5,3,0,8,4,8,848,0.0,False,0.85340307
j837711,0.0,0.0,3.0,3.0,0,0,delay_sensitive,1.0,4.0,0.5,3,1,8,9,3,1893,0.0,False,0.23393949
j221783,0.0,0.0,13.0,13.0,0,3,delay_sensitive,9.0,4.5,0.5,3,2,8,2,5,2825,0.0,False,0.05830274
j534401,0.0,0.0,15.0,15.0,0,3,delay_sensitive,15.0,7.5,0.5,3,3,8,2,8,3828,0.0,False,0.28138389
j34124,0.0,0.0,15.0,15.0,0,3,delay_sensitive,15.0,7.5,0.5,3,0,9,8,0,980,0.0,False,0.29359376
j600349,0.0,0.0,4.0,4.0,0,0,delay_sensitive,1.0,4.0,0.5,3,1,9,9,5,1995,0.0,False,0.66191651
j530239,0.0,0.0,15.0,15.0,0,3,delay_sensitive,15.0,7.5,0.5,3,2,9,7,0,2970,0.0,False,0.55703215
j583371,0.0,0.0,15.0,15.0,0,3,delay_sensitive,12.0,6.0,0.5,3,3,9,1,5,3915,0.0,False,0.78389821
j387830,0.0,0.0,10.0,10.0,0,2,delay_sensitive,4.0,4.0,0.5,3,0,0,4,3,43,0.0,False,0.66431354
j483873,0.0,0.0,15.0,15.0,0,3,delay_sensitive,14.0,7.0,0.5,3,1,0,0,3,1003,0.0,False,0.40638686
j158021,0.0,0.0,11.0,11.0,0,2,delay_sensitive,10.0,5.0,0.5,3,2,0,9,1,2091,0.0,False,0.81402038
j700313,0.0,0.0,15.0,15.0,0,3,delay_sensitive,15.0,7.5,0.5,3,3,0,1,7,3017,0.0,False,0.16697292
j610121,0.0,0.0,15.0,15.0,0,3,delay_sensitive,15.0,7.5,0.5,3,0,1,1,8,118,0.0,False,0.02271207
j224254,0.0,0.0,15.0,15.0,0,3,delay_sensitive,15.0,7.5,0.5,3,1,1,2,2,1122,0.0,False,0.09004786
j837711,0.0,0.0,8.0,8.0,0,1,delay_sensitive,2.0,4.0,0.5,3,2,1,7,8,2178,0.0,False,0.72235935
j357491,0.0,0.0,5.0,5.0,0,1,delay_sensitive,1.0,4.0,0.5,3,3,1,2,4,3124,0.0,False,0.46187723
j126584,0.0,0.0,6.0,6.0,0,1,delay_sensitive,3.0,4.0,0.5,3,0,2,8,9,289,0.0,False,0.16127178
j571568,0.0,0.0,1.0,1.0,0,0,delay_sensitive,1.0,4.0,0.5,3,1,2,6,3,1263,0.0,False,0.50104478
j610121,0.0,0.0,15.0,15.0,0,3,delay_sensitive,9.0,4.5,0.5,3,2,2,8,3,2283,0.0,False,0.1523121
j158021,0.0,0.0,15.0,15.0,0,3,delay_sensitive,13.0,6.5,0.5,3,3,2,4,6,3246,0.0,False,0.69632038
j158021,0.0,0.0,15.0,15.0,0,3,delay_sensitive,15.0,7.5,0.5,3,0,3,5,7,357,0.0,False,0.44615628
j571568,0.0,0.0,9.0,9.0,0,2,delay_sensitive,9.0,4.5,0.5,3,1,3,8,7,1387,0.0,False,0.38102123
j530239,0.0,0.0,15.0,15.0,0,3,delay_sensitive,10.0,5.0,0.5,3,2,3,1,3,2313,0.0,False,0.30151209
j757631,0.0,0.0,15.0,15.0,0,3,delay_sensitive,12.0,6.0,0.5,3,3,3,3,1,3331,0.0,False,0.63028259
j757631,0.0,0.0,15.0,15.0,0,3,delay_sensitive,12.0,6.0,0.5,3,0,4,5,0,450,0.0,False,0.36181261
j224443,0.0,0.0,14.0,14.0,0,3,delay_sensitive,7.0,4.0,0.5,3,1,4,9,8,1498,0.0,False,0.08764992
j230254,0.0,0.0,15.0,15.0,0,3,delay_sensitive,15.0,7.5,0.5,3,2,4,3,9,2439,0.0,False,0.1180059
j90165,0.0,0.0,4.0,4.0,0,0,delay_sensitive,1.0,4.0,0.5,3,3,4,3,0,3430,0.0,False,0.96189766
j600349,0.0,0.0,15.0,15.0,0,3,delay_sensitive,15.0,7.5,0.5,3,0,5,1,0,510,0.0,False,0.90858069
j647487,0.0,0.0,15.0,15.0,0,3,delay_sensitive,15.0,7.5,0.5,3,1,5,3,1,1531,0.0,False,0.69970713
j613886,0.0,0.0,23.0,23.0,0,5,delay_sensitive,30.0,15.0,0.5,3,2,5,0,5,2505,0.0,False,0.26586996
j224254,0.0,0.0,10.0,10.0,0,2,delay_sensitive,1.0,4.0,0.5,3,3,5,1,8,3518,0.0,False,0.96917638
j610121,0.0,0.0,15.0,15.0,0,3,delay_sensitive,13.0,6.5,0.5,3,0,6,3,4,634,0.0,False,0.7787509
j142475,0.0,0.0,15.0,15.0,0,3,delay_sensitive,15.0,7.5,0.5,3,1,6,7,3,1673,0.0,False,0.71689019
j158021,0.0,0.0,10.0,10.0,0,2,delay_sensitive,2.0,4.0,0.5,3,2,6,8,2,2682,0.0,False,0.4493615
j54287,0.0,0.0,15.0,15.0,0,3,delay_sensitive,15.0,7.5,0.5,3,3,6,9,9,3699,0.0,False,0.27224156
j719536,0.0,0.0,15.0,15.0,0,3,delay_sensitive,12.0,6.0,0.5,3,0,7,7,3,773,0.0,False,0.09639096
j837711,0.0,0.0,15.0,15.0,0,3,delay_sensitive,15.0,7.5,0.5,3,1,7,7,6,1776,0.0,False,0.9026024
j360424,0.0,0.0,15.0,15.0,0,3,delay_sensitive,11.0,5.5,0.5,3,2,7,3,1,2731,0.0,False,0.45577629
j221783,0.0,0.0,15.0,15.0,0,3,delay_sensitive,15.0,7.5,0.5,3,3,7,1,6,3716,0.0,False,0.20236336
j530239,0.0,0.0,8.0,8.0,0,1,delay_sensitive,5.0,4.0,0.5,3,0,8,5,6,856,0.0,False,0.30595662
j541699,0.0,0.0,15.0,15.0,0,3,delay_sensitive,15.0,7.5,0.5,3,1,8,6,7,1867,0.0,False,0.57921957
j62803,0.0,0.0,15.0,15.0,0,3,delay_sensitive,14.0,7.0,0.5,3,2,8,0,1,2801,0.0,False,0.17677278
j734726,0.0,0.0,15.0,15.0,0,3,delay_sensitive,15.0,7.5,0.5,3,3,8,0,6,3806,0.0,False,0.85661428
j119594,0.0,0.0,3.0,3.0,0,0,delay_sensitive,1.0,4.0,0.5,3,0,9,5,1,951,0.0,False,0.75851953
j131110,0.0,0.0,8.0,8.0,0,1,delay_sensitive,1.0,4.0,0.5,3,1,9,3,3,1933,0.0,False,0.71946296
j360424,0.0,0.0,5.0,5.0,0,1,delay_sensitive,2.0,4.0,0.5,3,2,9,3,8,2938,0.0,False,0.43209304
j43281,0.0,0.0,2.0,2.0,0,0,delay_sensitive,1.0,4.0,0.5,3,3,9,7,2,3972,0.0,False,0.62730884
j62803,0.0,0.0,10.0,10.0,0,2,delay_sensitive,10.0,5.0,0.5,3,0,0,6,2,62,0.0,False,0.58409797
j241884,0.0,0.0,15.0,15.0,0,3,delay_sensitive,10.0,5.0,0.5,3,1,0,4,7,1047,0.0,False,0.6498466
j360424,0.0,0.0,4.0,4.0,0,0,delay_sensitive,15.0,7.5,0.5,3,2,0,3,1,2031,0.0,False,0.08444432
j613886,0.0,0.0,5.0,5.0,0,1,delay_sensitive,2.0,4.0,0.5,3,3,0,7,8,3078,0.0,False,0.4158074
j125286,0.0,0.0,5.0,5.0,0,1,delay_sensitive,30.0,15.0,0.5,3,0,1,1,0,110,0.0,False,0.04161417
j613886,0.0,0.0,7.0,7.0,0,1,delay_sensitive,2.0,4.0,0.5,3,1,1,8,0,1180,0.0,False,0.49399082
j158021,0.0,0.0,13.0,13.0,0,3,delay_sensitive,14.0,7.0,0.5,3,2,1,1,3,2113,0.0,False,0.32986121
j530239,0.0,0.0,13.0,13.0,0,3,delay_sensitive,12.0,6.0,0.5,3,3,1,2,6,3126,0.0,False,0.14452419
j221783,0.0,0.0,5.0,5.0,0,1,delay_sensitive,1.0,4.0,0.5,3,0,2,7,7,277,0.0,False,0.10340297
j360424,0.0,0.0,3.0,3.0,0,0,delay_sensitive,1.0,4.0,0.5,3,1,2,3,6,1236,0.0,False,0.58764457
j613886,0.0,0.0,14.0,14.0,0,3,delay_sensitive,30.0,15.0,0.5,3,2,2,0,2,2202,0.0,False,0.17059297
