hour,token_capacity,export_tokens,token_export_revenue,token_energy_cost,net_token_profit,avg_cross_timezone_delay,token_sla_violation_rate,energy_per_million_tokens,cost_per_million_tokens,utility,export_ramp_tokens,domestic_export_tokens,europe_export_tokens,north_america_export_tokens,strategy,price,power_margin_norm
8,58703.2617899673,32286.793984482018,0.024699397398128743,0.001296538856355671,0.023402858541773073,0.17750000000000002,0.05,0.9618428798365213,0.040156940233174766,0.017268367684721488,32286.793984482018,25829.435187585615,4843.019097672302,1614.339699224101,Latency-Aware,41.75,0.0587032617899673
9,265756.0674597552,146165.8371028654,0.14251169117529378,0.005425543069098545,0.13708614810619524,0.17750000000000002,0.05,0.8272585561511592,0.03711909141450252,0.10931463905665081,113879.04311838337,116932.66968229233,21924.875565429807,7308.29185514327,Latency-Aware,44.870000000000005,0.2657560674597552
10,295619.7152466959,162590.84338568276,0.1585260723010407,0.007337130290705565,0.15118894201033514,0.1775,0.05,0.8078471850896476,0.04512634375910772,0.12029668176705542,16425.00628281737,130072.67470854621,24388.626507852412,8129.542169284138,Latency-Aware,55.86000000000001,0.2956197152466959
11,345456.4317134951,190001.03744242236,0.1852510115063618,0.007391157352880977,0.17785985415348082,0.17750000000000002,0.049999999999999996,0.7754533193862281,0.03890061576701013,0.14175965703942056,27410.194056739594,152000.82995393788,28500.155616363347,9500.051872121117,Latency-Aware,50.165,0.3454564317134951
12,395290.439878778,217409.74193332792,0.17023182793379577,0.007142070095742225,0.16308975783805355,0.17750000000000002,0.05,0.7430612140787942,0.03285073627442349,0.12178190687072124,27408.70449090557,173927.79354666235,32611.461289999188,10870.487096666397,Latency-Aware,44.21,0.395290439878778
13,429536.97870896815,236245.33828993252,0.18498009988101718,0.007180103604903973,0.1777999962761132,0.1775,0.049999999999999996,0.7208009638391707,0.03039257264027863,0.132913382001026,18835.596356604598,188996.270631946,35436.800743489875,11812.266914496626,Latency-Aware,42.165,0.4295369787089681
14,482663.83477344736,265465.10912539606,0.2588284813972612,0.007771813483808169,0.25105666791345305,0.17750000000000002,0.05,0.6862685073972592,0.029276214525567074,0.20061829717962779,29219.77083546354,212372.08730031687,39819.76636880941,13273.255456269804,Latency-Aware,42.66,0.4826638347734474
15,456223.4972648837,250922.9234956861,0.2401332377853716,0.010032111614389869,0.23010112617098172,0.17750000000000002,0.049999999999999996,0.7034547267778255,0.03998084939641772,0.18242577070680135,14542.185629709973,200738.33879654887,37638.43852435291,12546.146174784304,Latency-Aware,56.835,0.4562234972648837
16,456966.17043826246,251331.39374104436,0.2405241438101795,0.012293319936204352,0.22823082387397514,0.17750000000000002,0.05,0.7029719892151294,0.0489127910095887,0.18047785906317673,408.4702453582722,201065.1149928355,37699.70906115665,12566.569687052219,Latency-Aware,69.58,0.4569661704382625
17,512593.8357640839,281926.60967024614,0.2156738563977383,0.011749538262787705,0.2039243181349506,0.17749999999999996,0.05,0.6668140067533455,0.04167587542208409,0.15035826229760382,30595.215929201775,225541.28773619691,42288.991450536916,14096.330483512307,Latency-Aware,62.5,0.5125938357640839
18,619882.166335381,340935.19148445956,0.2608154214856116,0.010882554009966208,0.2499328674756454,0.17750000000000002,0.05,0.5970765918820023,0.031919714602011845,0.18515518109359808,59008.58181421342,272748.15318756766,51140.27872266893,17046.75957422298,Latency-Aware,53.46,0.619882166335381
19,656075.6746592736,360841.6210626005,0.2760438401128894,0.008458496256904067,0.2675853438559853,0.1775,0.05,0.5735508114714721,0.02344102166483906,0.19902543585409124,19906.42957814096,288673.2968500804,54126.24315939008,18042.081053130027,Latency-Aware,40.87,0.6560756746592736
20,591959.3820352395,325577.66011938173,0.24906690999132705,0.007403234816270655,0.2416636751750564,0.17750000000000002,0.05,0.6152264016770943,0.022738767805985403,0.17980391975237386,35263.960943218786,260462.1280955054,48836.64901790726,16278.883005969088,Latency-Aware,36.96,0.5919593820352395
21,529659.0158620803,291312.45872414415,0.22285403092397033,0.0056732905279695735,0.21718074039600074,0.17750000000000002,0.05,0.6557216396896478,0.01947493269878254,0.16183137323841335,34265.201395237586,233049.96697931533,43696.86880862162,14565.622936207208,Latency-Aware,29.7,0.5296590158620803
22,471192.15947144263,259155.68770929347,0.19825410109760952,0.0028261856855470377,0.19542791541206248,0.17750000000000002,0.05,0.6937250963435624,0.010905358514520803,0.1461883347472967,32156.771014850674,207324.5501674348,38873.35315639402,12957.784385464674,Latency-Aware,15.72,0.4711921594714426
23,404564.93196423183,222510.71258032753,0.1802336771900653,0.0020319314068249186,0.17820174578324038,0.1775,0.05,0.7370327942232493,0.00913183632042606,0.13592471039297815,36644.97512896595,178008.57006426202,33376.60688704913,11125.535629016376,Latency-Aware,12.39,0.4045649319642318
0,683481.9154775183,512611.4366081387,0.6151337239297664,0.01214145843579452,0.6029922654939719,0.28750000000000003,0.0,0.555736754939613,0.023685500495526306,0.3743107591650627,512611.4366081387,0.0,512611.4366081387,0.0,RH-TEO,42.62,0.6834819154775184
1,639369.9166416501,479527.4374812376,0.575432924977485,0.01135814405873282,0.5640747809187522,0.2875,0.0,0.5844095541829274,0.02368611923103405,0.42621064264289643,33083.99912690115,0.0,479527.4374812376,0.0,RH-TEO,40.53,0.6393699166416501
2,566156.721699095,424617.54127432127,0.5095410495291856,0.0092516245515536,0.500289424977632,0.2875,0.0,0.6319981308955882,0.021788135562625405,0.3782118818612646,54909.89620691631,0.0,424617.54127432127,0.0,RH-TEO,34.475,0.566156721699095
3,475130.238145405,356347.6786090538,0.42761721433086447,0.009962639476794568,0.4176545748540699,0.2875,0.0,0.6911653452054867,0.027957638213561935,0.315204617253967,68269.86266526749,0.0,356347.6786090538,0.0,RH-TEO,40.45,0.475130238145405
4,425812.2763484457,319359.2072613343,0.3832310487136011,0.006426673778869319,0.3768043749347318,0.28750000000000003,0.0,0.7232220203735102,0.020123652716892922,0.28498860284709815,36988.47134771949,0.0,319359.2072613343,0.0,RH-TEO,27.825,0.4258122763484457
5,125639.5945903557,94229.69594276678,0.0848067263484901,0.0031723495798591313,0.08163437676863096,0.2875,0.0,0.9183342635162688,0.033666134100506416,0.05454333918508551,225129.5113185675,0.0,94229.69594276678,0.0,RH-TEO,36.66,0.1256395945903557
6,71286.9093437869,71286.9093437869,0.07698986209128984,0.0026945349049145107,0.07429532718637533,0.43,1.0,0.9536635089265385,0.03779845317630335,0.02582022883260024,22942.786598979874,0.0,0.0,71286.9093437869,RH-TEO,39.635,0.0712869093437869
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71286.9093437869,0.0,0.0,0.0,RH-TEO,38.355,0.0
8,58703.2617899673,58703.2617899673,0.06339952273316468,0.0023573433751921287,0.061042179357972556,0.43,1.0,0.9618428798365213,0.040156940233174766,0.0211239613407948,58703.2617899673,0.0,0.0,58703.2617899673,RH-TEO,41.75,0.0587032617899673
9,265756.0674597552,265756.0674597552,0.3826887371420475,0.009864623761997352,0.3728241133800501,0.43,1.0,0.8272585561511592,0.037119091414502516,0.1921099875074166,207052.80566978792,0.0,0.0,265756.0674597552,RH-TEO,44.870000000000005,0.2657560674597552
10,295619.7152466959,295619.7152466959,0.42569238995524206,0.013340236892191937,0.4123521530630501,0.43,1.0,0.8078471850896476,0.04512634375910772,0.2113307466952969,29863.64778694068,0.0,0.0,295619.7152466959,RH-TEO,55.86000000000001,0.2956197152466959
11,345456.4317134951,345456.4317134951,0.4974572616674329,0.013438467914329046,0.48401879375310386,0.42999999999999994,1.0,0.7754533193862281,0.03890061576701013,0.24910842018792723,49836.716466799204,0.0,0.0,345456.4317134951,RH-TEO,50.165,0.3454564317134951
12,395290.439878778,395290.439878778,0.5692182334254403,0.012985581992258589,0.5562326514331817,0.43,1.0,0.7430612140787942,0.03285073627442349,0.2874351523156127,49834.008165282896,0.0,0.0,395290.439878778,RH-TEO,44.21,0.395290439878778
13,429536.97870896815,429536.97870896815,0.3092666246704571,0.013054733827098132,0.29621189084335897,0.27,0.0,0.7208009638391707,0.030392572640278632,0.18023690659193756,34246.53883019014,429536.97870896815,0.0,0.0,RH-TEO,42.165,0.4295369787089681
14,482663.83477344736,482663.83477344736,0.46335728138250953,0.014130569970560307,0.44922671141194925,0.27,0.0,0.6862685073972592,0.029276214525567074,0.3189074760231184,53126.856064479216,482663.83477344736,0.0,0.0,RH-TEO,42.66,0.4826638347734474
15,456223.4972648837,456223.4972648837,0.4379745573742884,0.018240202935254305,0.4197343544390341,0.27,0.0,0.7034547267778255,0.03998084939641772,0.2965540101775155,26440.33750856365,456223.4972648837,0.0,0.0,RH-TEO,56.835,0.4562234972648837
16,456966.17043826246,456966.17043826246,0.438687523620732,0.022351490793098824,0.41633603282763315,0.27,0.0,0.7029719892151294,0.0489127910095887,0.2929551668093023,742.6731733787456,456966.17043826246,0.0,0.0,RH-TEO,69.58,0.4569661704382625
17,512593.8357640839,384445.3768230629,0.34600083914075663,0.016022097631074143,0.3299787415096825,0.2875,0.0,0.6668140067533455,0.04167587542208409,0.21945069567305192,72520.79361519957,0.0,384445.3768230629,0.0,RH-TEO,62.5,0.5125938357640839
18,619882.166335381,464911.6247515357,0.41842046227638213,0.014839846377226646,0.4035806158991555,0.2875,0.0,0.5970765918820023,0.031919714602011845,0.269918523783089,80466.24792847282,0.0,464911.6247515357,0.0,RH-TEO,53.46,0.619882166335381
