算法,总能耗/kWh,总成本,平均时延/h,SLA违约率,任务完成率,CPU平均利用率,GPU平均利用率,负载不均衡度,峰谷差/kW,远端迁移任务数,远端任务完成率,远端执行成本,远端网络能耗/kWh,迁移平均时延/h,单位百万Token能耗/kWh,单位百万Token成本,总碳排放/kg,时延敏感任务违约率,Token总量,功率上限违约时段数,峰时功率违约时段数,完成任务数,任务总数,约束惩罚项
FCFS,201.69300497263333,8048.789296623021,1.929028233962616,0.0572,0.9428,0.0839936081349207,0.15913912434895836,0.13183450114707349,11.232368325766663,0,0.0,0.0,0.0,0.0,36.32979660685945,1449.781950134847,118.44839983192634,0.20042194092827004,5551724.034000001,0,0,4714,5000,801.6877637130801
Price-Only,201.94729320323333,8050.837766490198,2.856422507674779,0.0,1.0,0.08866502430555558,0.1996715690104167,0.17681326779513887,10.776531912033327,0,0.0,0.0,0.0,0.0,32.67193852513735,1302.5006297950738,118.78951378723,0.0,6181062.475000001,0,0,5000,5000,0.0
Proposed,779.0061401351,30861.59350145364,0.06828772565949336,0.0,0.9804,0.013395447115148444,0.01944065296303622,0.012436802389241684,56.432,163,0.8907103825136612,4.889999999999996,0.8150000000000006,0.14861226993865057,128.17775535588797,5077.969964442324,461.04542470408967,0.0,6077545.499,0,0,4902,5000,3.2600000000000002
